"Unique.ID","Indicator.ID","Name","Measure","Measure.Info","Geo.Type.Name","Geo.Join.ID","Geo.Place.Name","Time.Period","Start_Date","Data.Value","Borough"
172653,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",203,"Bedford Stuyvesant - Crown Heights","Annual Average 2011","12/01/2010",25.3,"Brooklyn"
172585,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",203,"Bedford Stuyvesant - Crown Heights","Annual Average 2009","12/01/2008",26.93,"Brooklyn"
336637,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",204,"East New York","Annual Average 2015","01/01/2015",19.09,"Brooklyn"
336622,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",103,"Fordham - Bronx Pk","Annual Average 2015","01/01/2015",19.76,"Bronx"
172582,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",104,"Pelham - Throgs Neck","Annual Average 2009","12/01/2008",22.83,"Bronx"
667327,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",104,"Pelham - Throgs Neck","Annual Average 2020","01/01/2020",16.19,"Bronx"
172607,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",306308,"Chelsea-Village","Annual Average 2009","12/01/2008",38.16,"Manhattan"
172675,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",306308,"Chelsea-Village","Annual Average 2011","12/01/2010",34.96,"Manhattan"
175345,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",206,"Borough Park","Winter 2010-11","12/01/2010",30.1,"Brooklyn"
176689,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",206,"Borough Park","Annual Average 2013","12/01/2012",20.23,"Brooklyn"
176682,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",106,"High Bridge - Morrisania","Annual Average 2013","12/01/2012",23.73,"Bronx"
336507,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",106,"High Bridge - Morrisania","Winter 2014-15","12/01/2014",26,"Bronx"
740910,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",106,"High Bridge - Morrisania","Annual Average 2021","01/01/2021",18.04,"Bronx"
175348,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",209,"Bensonhurst - Bay Ridge","Winter 2010-11","12/01/2010",28.44,"Brooklyn"
175894,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",209,"Bensonhurst - Bay Ridge","Summer 2009","06/01/2009",18.95,"Brooklyn"
175895,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",210,"Coney Island - Sheepshead Bay","Summer 2009","06/01/2009",15.22,"Brooklyn"
175349,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",210,"Coney Island - Sheepshead Bay","Winter 2010-11","12/01/2010",25.7,"Brooklyn"
176693,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",210,"Coney Island - Sheepshead Bay","Annual Average 2013","12/01/2012",16.36,"Brooklyn"
741006,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",410,"Rockaways","Annual Average 2021","01/01/2021",11.41,"Queens"
550028,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",201,"Mott Haven and Melrose (CD1)","Annual Average 2017","01/01/2017",21.25,"Bronx"
336723,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",101,"Financial District (CD1)","Winter 2014-15","12/01/2014",30.4,"Manhattan"
741126,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",101,"Financial District (CD1)","Annual Average 2021","01/01/2021",21.61,"Manhattan"
165858,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",102,"Greenwich Village and Soho (CD2)","Winter 2010-11","12/01/2010",36.79,"Manhattan"
166625,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",102,"Greenwich Village and Soho (CD2)","Summer 2009","06/01/2009",31.63,"Manhattan"
167746,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",102,"Greenwich Village and Soho (CD2)","Annual Average 2013","12/01/2012",29.27,"Manhattan"
336852,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",402,"Woodside and Sunnyside (CD2)","Winter 2014-15","12/01/2014",26.28,"Queens"
741255,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",402,"Woodside and Sunnyside (CD2)","Annual Average 2021","01/01/2021",20.21,"Queens"
171599,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",203,"Bedford Stuyvesant - Crown Heights","Winter 2009-10","12/01/2009",28.86,"Brooklyn"
549907,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",204,"East New York","Summer 2017","06/01/2017",13.39,"Brooklyn"
602850,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",204,"East New York","Summer 2018","06/01/2018",11.97,"Brooklyn"
171595,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",103,"Fordham - Bronx Pk","Winter 2009-10","12/01/2009",23.87,"Bronx"
549895,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",104,"Pelham - Throgs Neck","Summer 2017","06/01/2017",14.14,"Bronx"
643458,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",201,"Greenpoint","Winter 2018-19","12/01/2018",26.69,"Brooklyn"
211654,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",101,"Kingsbridge - Riverdale","Summer 2014","06/01/2014",13.55,"Bronx"
643446,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",101,"Kingsbridge - Riverdale","Winter 2018-19","12/01/2018",18.32,"Bronx"
211655,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx","Summer 2014","06/01/2014",15.4,"Bronx"
643449,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx","Winter 2018-19","12/01/2018",19.11,"Bronx"
211674,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",402,"West Queens","Summer 2014","06/01/2014",16.64,"Queens"
643506,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",402,"West Queens","Winter 2018-19","12/01/2018",24.36,"Queens"
172662,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",301,"Washington Heights","Annual Average 2011","12/01/2010",25.56,"Manhattan"
667399,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",301,"Washington Heights","Annual Average 2020","01/01/2020",18.08,"Manhattan"
175885,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",107,"Hunts Point - Mott Haven","Summer 2009","06/01/2009",23,"Bronx"
176683,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",107,"Hunts Point - Mott Haven","Annual Average 2013","12/01/2012",21.54,"Bronx"
740913,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",107,"Hunts Point - Mott Haven","Annual Average 2021","01/01/2021",18.52,"Bronx"
175892,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",207,"East Flatbush - Flatbush","Summer 2009","06/01/2009",21.39,"Brooklyn"
336531,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",207,"East Flatbush - Flatbush","Winter 2014-15","12/01/2014",25.7,"Brooklyn"
175347,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",208,"Canarsie - Flatlands","Winter 2010-11","12/01/2010",26.24,"Brooklyn"
175913,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",407,"Southwest Queens","Summer 2009","06/01/2009",18.59,"Queens"
165871,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",203,"Morrisania and Crotona (CD3)","Winter 2010-11","12/01/2010",30.92,"Bronx"
167759,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",203,"Morrisania and Crotona (CD3)","Annual Average 2013","12/01/2012",22.32,"Bronx"
549998,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",103,"Lower East Side and Chinatown (CD3)","Annual Average 2017","01/01/2017",23.65,"Manhattan"
172663,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",302,"Central Harlem - Morningside Heights","Annual Average 2011","12/01/2010",28.23,"Manhattan"
211670,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",302,"Central Harlem - Morningside Heights","Summer 2014","06/01/2014",19.54,"Manhattan"
336664,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",302,"Central Harlem - Morningside Heights","Annual Average 2015","01/01/2015",23.15,"Manhattan"
643494,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",302,"Central Harlem - Morningside Heights","Winter 2018-19","12/01/2018",24.69,"Manhattan"
549903,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",202,"Downtown - Heights - Slope","Winter 2016-17","12/01/2016",26.27,"Manhattan"
602844,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",202,"Downtown - Heights - Slope","Summer 2018","06/01/2018",16.37,"Manhattan"
602829,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",101,"Kingsbridge - Riverdale","Summer 2018","06/01/2018",11.69,"Bronx"
549886,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",101,"Kingsbridge - Riverdale","Summer 2017","06/01/2017",13.02,"Bronx"
211757,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx","Annual Average 2014","12/01/2013",18.97,"Bronx"
549889,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx","Summer 2017","06/01/2017",14.37,"Bronx"
602832,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx","Summer 2018","06/01/2018",13.05,"Bronx"
175297,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",107,"Hunts Point - Mott Haven","Winter 2009-10","12/01/2009",26.48,"Bronx"
175381,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",107,"Hunts Point - Mott Haven","Winter 2011-12","12/01/2011",25.17,"Bronx"
211390,375,"Nitrogen dioxide (NO2)","Mean","ppb","Borough",1,"Bronx","Annual Average 2014","12/01/2013",19.8,"Bronx"
336652,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",209,"Bensonhurst - Bay Ridge","Annual Average 2015","01/01/2015",18.62,"Brooklyn"
643482,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",209,"Bensonhurst - Bay Ridge","Winter 2018-19","12/01/2018",20.53,"Brooklyn"
667381,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",209,"Bensonhurst - Bay Ridge","Annual Average 2020","01/01/2020",14.81,"Brooklyn"
172593,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",211,"Williamsburg - Bushwick","Annual Average 2009","12/01/2008",27.13,"Brooklyn"
172661,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",211,"Williamsburg - Bushwick","Annual Average 2011","12/01/2010",25.75,"Brooklyn"
336658,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",211,"Williamsburg - Bushwick","Annual Average 2015","01/01/2015",21.27,"Brooklyn"
211668,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",211,"Williamsburg - Bushwick","Summer 2014","06/01/2014",17,"Brooklyn"
336709,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",501502,"Northern SI","Annual Average 2015","01/01/2015",16,"Staten Island"
